Title,Salary,Company,Experience,Employment Type,Is_Hot,Link
"Финансовый менеджер (P&L, Cash Flow, Balance, Quickbooks)",30000грн,Nick's Window Cleaning, от 1 года,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/4954249/
Менеджер з продажу,30000–58500грн,Eco Cleaning NYC, от 1 года,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/4864401/
Оператор контактного центру зі знанням словацької мови,,"ОН Клінік, мережа медичних центрів",,"Полнаязанятость,неполнаязанятость",HOT,https://www.work.ua/ru/jobs/4866008/
SMM-менеджер,19000–27000грн,"Backstage Art, студія портретів", от 1 года,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/5037180/
Категорійний менеджер ЗЕД (з новинок),,"Сузірья, ГК", от 2 лет,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/4990358/
Викладач англійської для корпоративних клієнтів,15000–25000грн,ДС Глобал,,"Полнаязанятость,неполнаязанятость",HOT,https://www.work.ua/ru/jobs/4951083/
Контент-менеджер,17000–20000грн,"Міжнародна Маркетингова Група, ПП", от 1 года,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/5036773/
Менеджер з продажу юридичних послуг,20000–60000грн,"Правова допомога, ЮК", от 2 лет,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/4432729/
Переводчик английского (мобильные игры),,Playliner, от 1 года,"Полнаязанятость,неполнаязанятость",HOT,https://www.work.ua/ru/jobs/5036619/
Контент-менеджер сайтов,,DeCode, от 1 года,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/5036475/
Менеджер з продажу,10000–25000грн,Lectrum LLC,,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/5020415/
Customer Support Representative,18000–34000грн,Credit Sense,,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/4826483/
Менеджер з продажу (зі знанням англійської),20000–40000грн,Eltra Trade s.r.o., от 1 года,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/5036377/
Менеджер з продажу,18000–35000грн,"Глобал Едьюкейшн, ТОВ", от 1 года,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/5036362/
"SEO-спеціаліст (Middle, Senior)",35000–50000грн,TheGoodocs, от 2 лет,Полнаязанятость,HOT,https://www.work.ua/ru/jobs/5036143/
